"'이태원발 감염' 전국서 42명…당국, 방문 사실 신고 당부 / JTBC 뉴스룸",2:58,JTBC News,구독자 132만명,조회수 5.3천회,20시간 전,2020/05/10 16:52:08
2020년 5월 9일 (토) 뉴스룸 다시보기 - '이태원발' 감염 확산…전국서 42명,37:46,JTBC News,구독자 132만명,조회수 8만회,21시간 전,2020/05/10 16:52:08
"[이슈정주행] ""경영 세습 않겠다"" 이재용 사과를 보는 시선들 / JTBC News",16:20,JTBC News,구독자 132만명,조회수 2.7천회,1일 전,2020/05/10 16:52:08
"[이슈정주행] ""강력한 증거"" 우한연구소 때리기…코로나발 미·중 갈등 격화 / JTBC News",6:46,JTBC News,구독자 132만명,조회수 1.8만회,1일 전,2020/05/10 16:52:08
"밤샘토론 137회 - ""정치 혁신, 세대교체가 답인가?"" (2020.05.08)",2:16:20,JTBC News,구독자 132만명,조회수 1.7만회,1일 전,2020/05/10 16:52:08
"""기부금 불투명"" 이용수 할머니 비판에 윤미향 ""기억 왜곡"" / JTBC 정치부회의",2:45,JTBC News,구독자 132만명,조회수 9.4천회,1일 전,2020/05/10 16:52:08
"조국 전 장관, 언론 향해 ""반대 심문 내용도 보도해달라"" / JTBC 정치부회의",1:57,JTBC News,구독자 132만명,조회수 5.3천회,1일 전,2020/05/10 16:52:08
"[뉴스룸 모아보기] 처음 법정 선 조국 ""지치지 않고 싸울 것"" / JTBC News",7:36,JTBC News,구독자 132만명,조회수 3천회,1일 전,2020/05/10 16:52:08
[뉴스룸 모아보기] 클럽발 집단감염 비상…젊은층 '무증상 감염' 복병 / JTBC News,12:09,JTBC News,구독자 132만명,조회수 1.1만회,1일 전,2020/05/10 16:52:08
5월 8일 (금) 뉴스룸 엔딩곡 (BGM : Teach Me Tonight - James Taylor) / JTBC News,0:52,JTBC News,구독자 132만명,조회수 830회,1일 전,2020/05/10 16:52:08
"정부 ""8일 오후 8시부터 한 달간 전국 유흥시설 '운영자제령'"" / JTBC 뉴스룸",2:37,JTBC News,구독자 132만명,조회수 1.1만회,1일 전,2020/05/10 16:52:08
"2020년 5월 8일 (금) 뉴스룸 다시보기 - 집단감염, 새로운 '뇌관'…이태원 클럽",1:26:42,JTBC News,구독자 132만명,조회수 9.6만회,1일 전,2020/05/10 16:52:08
전 세계가 주목한 'K리그 개막전'…36개국서 생중계 / JTBC 뉴스룸,2:15,JTBC News,구독자 132만명,조회수 1.1만회,1일 전,2020/05/10 16:52:08
'수업 중 성희롱 발언' 교사 2명 벌금 700만원 / JTBC 뉴스룸,0:44,JTBC News,구독자 132만명,조회수 966회,1일 전,2020/05/10 16:52:08
